_id,spending_behavior,processing_timestamp,applicant_info.full_name,applicant_info.email,applicant_info.ssn,applicant_info.ip_address,applicant_info.gender,applicant_info.date_of_birth,applicant_info.zip_code,financials.annual_income,financials.credit_history_months,financials.debt_to_income,financials.savings_balance,decision.loan_approved,decision.rejection_reason,loan_purpose,decision.interest_rate,decision.approved_amount,financials.annual_salary,notes
app_164,"[{'category': 'Utilities', 'amount': 218}, {'category': 'Travel', 'amount': 798}, {'category': 'Transportation', 'amount': 430}]",2024-01-15T00:00:00Z,Brian Brown,brian.brown61@yahoo.com,586-29-4288,192.168.240.12,Male,1978-10-04,10004,101000,117,0.14,34221,True,,,4.1,62000.0,,
app_179,"[{'category': 'Utilities', 'amount': 842}, {'category': 'Healthcare', 'amount': 392}]",2026-03-15T00:00:00Z,Paul Roberts,paul.roberts46@yahoo.com,880-83-3129,172.21.233.185,Male,12/07/1993,10092,85000,30,0.24,31966,True,,,3.4,42000.0,,
app_226,"[{'category': 'Travel', 'amount': 726}]",,Susan Flores,susan.flores95@mail.com,817-96-6416,192.168.196.9,Female,1982/04/18,90231,148000,61,0.17,66276,True,,vacation,6.1,46000.0,,
app_183,"[{'category': 'Healthcare', 'amount': 838}]",2024-01-15T00:00:00Z,Patrick Lewis,patrick.lewis88@outlook.com,956-25-2870,192.168.39.77,Male,09/20/1998,10003,36000,12,0.17,1661,True,,,4.9,16000.0,,
app_168,"[{'category': 'Groceries', 'amount': 687}, {'category': 'Transportation', 'amount': 354}]",2024-01-15T00:00:00Z,Larry Thompson,larry.thompson20@yahoo.com,674-78-4391,192.168.148.88,M,1997-03-31,10092,71000,29,0.28,22361,True,,,6.1,65000.0,,
app_169,"[{'category': 'Insurance', 'amount': 623}]",2024-01-15T00:00:00Z,Brian Brown,brian.brown29@icloud.com,566-85-7180,10.10.233.92,Male,1986-12-06,10014,85000,45,0.11,61833,True,,,4.4,28000.0,,
app_170,"[{'category': 'Rent', 'amount': 696}, {'category': 'Fitness', 'amount': 699}]",2024-01-15T00:00:00Z,Ryan Lopez,ryan.lopez76@outlook.com,907-21-8853,10.160.161.230,Male,1990-02-19,30015,75000,40,0.18,10709,True,,,3.3,79000.0,,
app_171,"[{'category': 'Dining', 'amount': 461}]",2024-01-15T00:00:00Z,Amy Rivera,amy.rivera53@mail.com,361-95-9120,172.19.104.23,Female,08/05/1996,90252,104000,47,0.32,16227,True,,,6.2,78000.0,,
app_149,"[{'category': 'Utilities', 'amount': 570}, {'category': 'Dining', 'amount': 376}]",2024-01-15T00:00:00Z,Linda Nguyen,linda.nguyen56@protonmail.com,183-95-4538,10.251.107.38,Female,1978-11-10,90224,132000,72,0.2,48329,True,,,5.1,29000.0,,
app_150,"[{'category': 'Education', 'amount': 858}]",2024-01-15T00:00:00Z,Barbara Smith,barbara.smith46@aol.com,740-83-3254,172.19.176.111,Female,10/08/1980,90208,106000,49,0.25,38059,True,,,3.0,38000.0,,
app_174,"[{'category': 'Fitness', 'amount': 98}]",2024-01-15T00:00:00Z,Katherine Baker,katherine.baker50@outlook.com,405-23-3195,192.168.75.133,Female,1990-01-15,90237,98000,31,0.34,34731,True,,,2.7,33000.0,,
app_175,"[{'category': 'Education', 'amount': 290}, {'category': 'Utilities', 'amount': 630}]",2024-01-15T00:00:00Z,Raymond Williams,raymond.williams54@yahoo.com,178-62-8743,192.168.49.174,Male,04/09/1992,10012,46000,47,0.31,19411,True,,,3.8,51000.0,,
app_152,"[{'category': 'Healthcare', 'amount': 893}]",2024-01-15T00:00:00Z,Alexander Rodriguez,alexander.rodriguez71@outlook.com,938-80-5542,10.167.213.23,Male,2001-07-27,10012,46000,26,0.16,21942,True,,,4.7,19000.0,,
app_153,"[{'category': 'Insurance', 'amount': 377}]",2024-01-15T00:00:00Z,Rachel Anderson,rachel.anderson41@aol.com,156-84-7704,192.168.15.193,Female,1979/01/24,90222,76000,56,0.36,11446,True,,,6.4,33000.0,,
app_154,"[{'category': 'Education', 'amount': 60}]",2024-01-15T00:00:00Z,Michelle Perez,michelle.perez39@protonmail.com,372-23-4447,192.168.101.97,Female,12/16/1985,30015,119000,65,0.09,86849,True,,,6.5,15000.0,,
app_155,"[{'category': 'Insurance', 'amount': 551}]",2024-01-15T00:00:00Z,Anthony Sanchez,anthony.sanchez56@protonmail.com,842-52-1461,10.29.9.21,Male,1977-05-03,90206,100000,102,0.05,44295,True,,,4.2,61000.0,,
app_176,"[{'category': 'Travel', 'amount': 198}, {'category': 'Healthcare', 'amount': 102}]",2024-01-15T00:00:00Z,Steven Lee,steven.lee49@mail.com,952-58-1833,192.168.177.187,Male,1989-07-26,10058,91000,60,0.22,46039,True,,,4.9,35000.0,,
app_157,"[{'category': 'Shopping', 'amount': 387}, {'category': 'Gambling', 'amount': 646}]",2024-01-15T00:00:00Z,Brenda Brown,brenda.brown63@gmail.com,237-95-4979,192.168.249.111,F,30/12/1982,10015,110000,34,0.11,38281,True,,,5.9,51000.0,,
app_177,"[{'category': 'Shopping', 'amount': 392}]",2024-01-15T00:00:00Z,Thomas Smith,thomas.smith57@outlook.com,298-38-4813,172.20.125.153,Male,25/01/1990,10004,54000,35,0.05,25705,True,,,5.9,67000.0,,
app_159,"[{'category': 'Education', 'amount': 578}, {'category': 'Dining', 'amount': 507}]",2024-01-15T00:00:00Z,Daniel Gonzalez,daniel.gonzalez84@aol.com,322-72-6023,192.168.123.26,Male,11/10/1960,10084,107000,89,0.22,61596,True,,,6.1,58000.0,,
app_160,"[{'category': 'Entertainment', 'amount': 883}, {'category': 'Fitness', 'amount': 128}]",2024-01-15T00:00:00Z,George Thompson,george.thompson36@aol.com,904-48-6710,192.168.48.92,Male,29/12/1982,10056,80000,18,0.18,58748,True,,,2.8,31000.0,,
app_178,"[{'category': 'Rent', 'amount': 189}, {'category': 'Fitness', 'amount': 570}]",2024-01-15T00:00:00Z,Brandon Harris,brandon.harris4@outlook.com,262-63-6057,192.168.200.5,Male,20/07/1997,10027,52000,44,0.13,20921,True,,,3.8,44000.0,,
app_141,"[{'category': 'Groceries', 'amount': 399}]",2024-01-15T00:00:00Z,Ronald Johnson,ronald.johnson14@gmail.com,806-19-9489,192.168.175.83,Male,1982-08-19,10002,125000,39,0.37,72682,True,,,3.2,37000.0,,
app_142,"[{'category': 'Groceries', 'amount': 146}]",2024-01-15T00:00:00Z,Eric Lee,eric.lee8@outlook.com,813-95-8373,172.19.216.226,Male,10/24/2001,10050,72000,66,0.34,15207,True,,,3.0,17000.0,,
app_143,"[{'category': 'Groceries', 'amount': 791}]",2024-01-15T00:00:00Z,David Wilson,david.wilson94@hotmail.com,855-76-9652,192.168.180.240,Male,1958-12-21,10048,66000,113,0.28,23503,True,,,6.4,66000.0,,
app_144,"[{'category': 'Fitness', 'amount': 513}]",2024-01-15T00:00:00Z,Nicholas Taylor,nicholas.taylor14@icloud.com,745-28-4842,10.176.136.112,Male,1996-09-14,10024,56000,0,0.27,23970,True,,,6.2,39000.0,,
app_162,"[{'category': 'Dining', 'amount': 303}, {'category': 'Entertainment', 'amount': 197}, {'category': 'Fitness', 'amount': 617}]",2024-01-15T00:00:00Z,Eric Rodriguez,eric.rodriguez1@hotmail.com,122-21-5695,10.53.239.200,Male,1991-12-11,10066,55000,47,0.3,10407,True,,,2.7,71000.0,,
app_146,"[{'category': 'Education', 'amount': 687}, {'category': 'Shopping', 'amount': 73}]",2024-01-15T00:00:00Z,Amy Flores,sarah.smith@,577-59-1479,10.4.113.112,Female,1970-04-26,90262,79000,102,0.2,24961,True,,,2.7,61000.0,,
app_147,"[{'category': 'Rent', 'amount': 817}, {'category': 'Healthcare', 'amount': 126}, {'category': 'Fitness', 'amount': 836}]",2024-01-15T00:00:00Z,John Harris,john.harris87@hotmail.com,194-73-2525,10.177.132.73,M,1978-08-16,10092,79000,67,0.43,41974,True,,,4.9,65000.0,,
app_148,"[{'category': 'Shopping', 'amount': 887}, {'category': 'Insurance', 'amount': 719}]",2024-01-15T00:00:00Z,Shirley Davis,shirley.davis62@icloud.com,384-17-7019,10.121.226.226,Female,1982-08-11,90261,122000,72,0.37,35207,True,,,3.3,25000.0,,
app_163,"[{'category': 'Shopping', 'amount': 404}]",2024-01-15T00:00:00Z,Edward White,edward.white48@gmail.com,324-94-2806,172.26.137.15,Male,03/06/1981,10019,104000,58,0.3,38425,True,,,2.9,47000.0,,
app_185,"[{'category': 'Utilities', 'amount': 570}, {'category': 'Travel', 'amount': 191}, {'category': 'Healthcare', 'amount': 587}]",2024-01-15T00:00:00Z,George Clark,george.clark73@aol.com,804-59-4925,10.178.229.242,Male,1984-05-10,10039,60000,65,0.34,38690,True,,,5.6,24000.0,,
app_186,"[{'category': 'Entertainment', 'amount': 850}, {'category': 'Fitness', 'amount': 195}, {'category': 'Travel', 'amount': 698}]",2024-01-15T00:00:00Z,Kenneth Carter,kenneth.carter22@yahoo.com,555-26-1610,172.24.47.150,Male,1986-09-08,10086,115000,41,0.42,39117,True,,,6.0,72000.0,,
app_188,"[{'category': 'Utilities', 'amount': 269}, {'category': 'Entertainment', 'amount': 449}]",2024-01-15T00:00:00Z,Elizabeth Jackson,elizabeth.jackson75@gmail.com,884-36-9087,172.22.91.113,Female,1987-04-03,90263,98000,64,0.17,45696,True,,,2.7,27000.0,,
app_189,"[{'category': 'Groceries', 'amount': 156}, {'category': 'Utilities', 'amount': 605}]",2024-01-15T00:00:00Z,Christopher Anderson,christopher.anderson49@protonmail.com,538-69-7345,10.238.76.188,Male,1966-05-31,90255,95000,71,0.06,41414,True,,,5.5,39000.0,,
app_192,"[{'category': 'Healthcare', 'amount': 650}]",2024-01-15T00:00:00Z,Dennis Lopez,dennis.lopez78@yahoo.com,936-44-8002,172.29.183.18,Male,11/15/1985,10088,78000,40,0.22,34292,True,,,6.0,18000.0,,
app_195,"[{'category': 'Rent', 'amount': 227}, {'category': 'Travel', 'amount': 554}, {'category': 'Insurance', 'amount': 190}, {'category': 'Adult Entertainment', 'amount': 579}]",2024-01-15T00:00:00Z,Mark Campbell,mark.campbell36@aol.com,730-25-4224,192.168.3.184,Male,1992-03-26,10005,61000,0,0.29,19373,True,,,5.1,77000.0,,
app_196,"[{'category': 'Travel', 'amount': 598}, {'category': 'Education', 'amount': 533}, {'category': 'Groceries', 'amount': 821}]",2024-01-15T00:00:00Z,Rachel Hernandez,rachel.hernandez83@yahoo.com,798-57-4126,10.7.164.75,F,1995-04-17,90225,88000,19,0.26,12943,True,,,6.4,47000.0,,
app_202,"[{'category': 'Healthcare', 'amount': 73}, {'category': 'Rent', 'amount': 263}, {'category': 'Entertainment', 'amount': 512}]",,Mark Taylor,mark.taylor69@mail.com,948-21-4380,192.168.237.127,M,1996-02-24,10097,62000,29,0.11,14258,True,,auto,5.8,64000.0,,
app_203,"[{'category': 'Insurance', 'amount': 645}]",,Joseph Allen,joseph.allen79@gmail.com,234-34-4011,172.22.253.28,Male,1993-10-29,10093,58000,47,0.44,21458,True,,moving,3.0,51000.0,,
app_208,"[{'category': 'Dining', 'amount': 114}, {'category': 'Fitness', 'amount': 795}]",,James Martin,james.martin69@hotmail.com,155-19-6776,172.17.130.224,Male,1966-10-28,10061,97000,92,0.34,21594,True,,education,2.8,26000.0,,
app_209,"[{'category': 'Healthcare', 'amount': 608}, {'category': 'Rent', 'amount': 798}]",,Charles Jackson,charles.jackson70@gmail.com,725-13-6067,10.88.153.43,Male,1988/03/16,10010,106000,51,0.15,51382,True,,moving,5.2,59000.0,,
app_210,"[{'category': 'Entertainment', 'amount': 241}]",,Pamela Campbell,pamela.campbell91@outlook.com,719-88-4590,10.113.208.213,Female,1983-06-19,90261,66000,18,0.42,41892,True,,medical,4.8,40000.0,,
app_181,"[{'category': 'Travel', 'amount': 67}]",2024-01-15T00:00:00Z,Rachel Carter,rachel.carter45@yahoo.com,750-28-6195,10.245.209.184,Female,04/13/1996,90284,89000,79,0.44,36769,True,,,5.0,54000.0,,
app_182,"[{'category': 'Insurance', 'amount': 633}]",2024-01-15T00:00:00Z,Steven Roberts,steven.roberts81@outlook.com,766-23-5646,10.143.138.207,Male,1982-11-17,10096,102000,53,0.39,39743,True,,,2.9,40000.0,,
app_215,"[{'category': 'Rent', 'amount': 109}]",,Scott Moore,scott.moore94@mail.com,370-78-5178,10.240.193.250,Male,1989-10-24,10075,61000,41,0.21,37909,True,,vacation,3.7,59000.0,,
app_216,"[{'category': 'Groceries', 'amount': 230}, {'category': 'Insurance', 'amount': 210}]",,Jason Moore,jason.moore86@aol.com,308-39-2669,192.168.11.119,Male,1980-07-20,10020,111000,77,0.37,61470,True,,wedding,5.8,42000.0,,
app_218,"[{'category': 'Travel', 'amount': 240}]",,Mark Scott,mark.scott72@aol.com,653-15-8386,10.216.243.5,Male,1982-04-09,10083,80000,80,0.43,22276,True,,medical,2.7,29000.0,,
app_223,"[{'category': 'Groceries', 'amount': 112}]",,Edward Nguyen,edward.nguyen90@yahoo.com,728-35-5170,10.162.20.136,Male,2000/12/28,10040,57000,0,0.26,4528,True,,medical,5.1,40000.0,,
app_228,"[{'category': 'Education', 'amount': 675}, {'category': 'Insurance', 'amount': 321}]",,Emily Walker,emily.walker42@outlook.com,175-63-6572,192.168.253.184,Female,14/12/1987,90280,70000,58,0.42,25883,True,,vacation,3.5,35000.0,,
app_231,"[{'category': 'Fitness', 'amount': 572}]",,Jerry Nguyen,jerry.nguyen45@yahoo.com,821-93-7079,172.28.235.138,M,1994-12-28,10074,78000,40,0.33,31025,True,,moving,6.0,62000.0,,
